division,isco_08_code,isco_08_title,occupation_code,occupation_name,occupation_description,qualification_pack_reference,nswf_level
2,2153,Telecommunication Engineers,c_2153.0501,"Sound Engineer, Media","Sound Engineer, Media is responsible for
 recording/mixing sound sources to create
 end-products that meet the quality
 standards and requirements of
 production.",MES/Q3402,NA
2,2153,Telecommunication Engineers,c_2153.0511,Sound Designer,"Sound Designer designs the sound
 concept for a production and selects the
 studios/equipment for recordings.",MES/Q3401,NA
2,2153,Telecommunication Engineers,c_2153.0601,Core Engineer,"Core Engineer is responsible for error free
 performance of
 radio and data core nodes through
 preventive maintenance and effective
 fault
 management in case of fault occurrence.
 He is also responsible for performing
 upgrade, configuration change activities
 and for carrying out Point of interconnect
 testing for customers.",TEL/Q6201,NA
2,0,NA,c_2153.9900,"Telecommunication Engineers, Other","Telecommunication Engineers, Other
 include engineers who conduct research
 and advise on, design, and direct the
 construction, functioning,
 maintenance and repair of
 telecommunication systems and
 equipment not elsewhere classified",NA,NA
2,2161,Building Architects,c_2161.0100,Architect,"Architect prepares designs for
 construction of buildings, monuments,
 etc., estimates cost and co-ordinates
 functional and organizational details for
 execution. Collects information from party
 concerned about requirements and
 type(s) of buildings to be constructed,
 available funds, special features desired, if
 any, etc., and records points for
 consideration. Prepares designs,
 estimates cost and submits them to party
 for approval. Prepares detailed drawings
 or gets them prepared by Draughtsman,
 Architectural to specified scale showing
 location of building (s) on site plan and
 submits them to competent authorities.
 Draws up specifications regarding flooring,
 finish, architectural features etc.,
 estimates quantities of materials required
 and other details and indicates them in
 drawing for correct execution of plan.
 May guide, supervise and inspect
 construction work from time to time to
 ensure execution according to plan. May
 consult engineer and specialist and get
 light and power fittings, sanitary fittings,
 etc. done by them. May specialize in
 landscape architecture. May approve
 payment on correct execution of work",NA,NA
2,2161,Building Architects,c_2161.9900,"Building Architects, Other","Building Architects, Town and Traffic
 Planners, Other conduct research and
 advise on design of residential,
 commercial and industrial buildings,layout of towns, landscapes and traffic
 systems, and plan and monitor their
 construction, maintenance and covers all
 other architects, town and traffic planners
 not elsewhere classified.",NA,NA
2,2163,Product and Garment Designers,c_2163.0100,Package Designer/Packaging Designer,"Package Designer designs containers for
 products, such as foods, beverages,
 toiletries, cigarettes, and medicines.
 Confers with representatives of
 engineering, marketing, management, and
 other departments to determine
 packaging requirements and type of
 product market. Sketches design of
 container for specific product, considering
 factors, such as convenience in handling
 and storing, distinctiveness for
 identification by consumer, and simplicity
 to minimise production costs. Renders
 design, including exterior markings and
 labels, using paints and brushes. Typically
 fabricates model in paper, wood, glass,
 plastic, or metal, depending on material to
 be used in package. Makes changes or
 modifications required by approving
 authority.",NA,NA
2,2163,Product and Garment Designers,c_2163.0201,Design Merchandiser,"Design Merchandiser develops jewellery
 design concepts and plays key role in
 product development in the cast and
 diamond-set jewellery manufacturing in
 India. The individual at work assesses
 market trends by, researching the market,
 taking cues from exhibitions and
 interacting with customers and designers.
 The individual develops design concepts,
 assesses the value of inputs to price
 jewellery for different budgets, and
 presents design brief to senior
 management or client for finalisation.",G&J/Q2303,NA
2,2163,Product and Garment Designers,c_2163.0301,Hand Sketch Designer (Basic),"Hand Sketch Designer (Basic) uses
 stationery and
 measuring tools to create a range of basic
 jewellery design by hand.",G&J/Q2303,NA
2,2163,Product and Garment Designers,c_2163.0400,Furniture Designer,"Furniture Designer designs furniture line
 or individual pieces for manufacture
 according to knowledge of design trends,
 offerings or competition, capability of
 production facilities and characteristics of
 company's traditional market. Studies
 market trends and customer needs and
 discusses design suggestions with
 production management and trade
 channels. Evaluates proposals and
 prepares freehand sketches of promising
 designs. Obtains approval from customer,
 design committee or company
 management and originates scale drawing
 of approved designs, using drawing
 instruments. Traces drawing on tracing
 cloth, preparatory to production of blue
 print; Prepares or directs preparation of
 blueprints containing manufacturing
 specifications, such as dimensions, kind of
 wood and upholstery fabrics to be used in
 manufacturing furniture line or article.
 May plan modifications for completed
 furniture to conform to changes in design
 trends and increase customer acceptance.",NA,NA
2,2163,Product and Garment Designers,c_2163.0500,Fashion Designer,"Fashion Designer should have the skills
 and knowledge to develop fashion design
 briefs and manage the development of
 design concepts for commercial
 production. The initial process includes
 conducting market research and
 trend analysis for the particular season
 and identifying a theme for the collection;
 then creating a mood board and colour
 board based on the theme, develop an
 entire range according to the business
 plan and as per the theme board. After
 finalization on the range with the team,
 create the techpack for each style. Work
 with different teams to create a prototype
 design based on the techpack. Evaluation
 of the sample and
 Documentation of the same is also done
 by the
 Designer.",NA,NA
2,2163,Product and Garment Designers,c_2163.0600,Textile Designer,"Textile Designer develops patterns and
 creates designs for use in manufacture of
 cloth. Studies cuttings of designs brought
 out by other Indian as well as foreign
 mills. Reviews literature on textile
 designing and watches views literature on
 textile designing and watches current
 trends in style. Develops designs of new
 patterns and colour combinations.
 Prepares rough drawing of designs.
 Reproduces final designs on graph paper
 indicating interlacement of warp and
 weft. Supervises inserting of pattern on
 dobby or jacquard looms. Examines
 samples of woven pattern and corrects or
 amends design on graph, if necessary.
 Checks functioning of cards punched by
 Card Cutter and pegging of lattice done by
 Lattice Rigger.",NA,NA
2,2164,Town and Traffic Planners,c_2164.0100,Town Planner,"Town Planner designs layout and co-
 ordinates development of towns, cities
 and colonies, taking into consideration
 various aspects, such as financial
 resources, location of residential areas,
 industries, schools, parks etc. Conducts
 town planning survey of specified area for
 designing layout. Collects data from State
 Governments, Municipal Corporation and
 other sources, regarding climate, soil
 condition, contours, rivers, transport and
 public health facilities, public utility
 services, age and condition of buildings if
 any, density of population, traffic, wind
 direction etc. Analyses this data and
 consults specialists as necessary, such as
 Engineer, Industrialist, Geologist,
 Sociologist, Geographer, Statistician, etc.
 for expert opinion. Prepares road pattern
 accordingly and fills in details indicating
 locations of open spaces, parks, school,
 hospital and other buildings, etc. Prepares
 detailed drawings of area and obtains
 approval of sponsoring authority. Submits
 copies of plan to Corporation or State
 authorities for their concurrence; passes
 on approved plan to Architect for
 designing and preparing estimates. May
 design and prepare estimates etc. if
 qualified as Architect.",NA,NA
2,2164,Town and Traffic Planners,c_2164.0200,Traffic Planner,"Traffic Planner studies Vehicular-traffic
 conditions on urban or national highways
 and develops plan for altering conditions
 to promote safety and reduce congestion.
 Studies traffic condition from fixed
 position to detect unsafe or congested
 conditions and observes location of
 alternative routes. Evaluates statistical
 and physical data regarding such
 considerations as vehicle count per mile,
 load-capacity of pavement, and feasibility
 of widening pavement and projected
 traffic loads in future. Conducts
 experiments with alternative traffic plans
 on nearby routes and on same route with
 modification in signals, traffic directions or
 other controlled devices and techniques.
 Evaluates results of experiments and
 directs or recommends permanent
 changes to improve conditions. Confers
 with citizens and government officials to
 resolve complaints concerning traffic
 problems requiring cooperation of public
 or other jurisdiction. May prepare public
 information materials to enlist
 cooperation of public in reducing
 congestion and accidents. May integrate
 results of traffic studies with work of
 other agencies to develop transportation
 plans.",NA,NA
2,2165,Cartographers and Surveyors,c_2165.0100,Cartographer,"Cartographer prepares maps from aerial
 photographs, technical drawings, data etc.
 Checks workability and combination of air
 photographs to bring them to proposed
 scale of map. Marks streams, railways,
 sites, contours, vegetation and other
 items of aerial photographs with ink for
 details. Draws maps to prescribed scale
 ensuring correct geographical position
 with regard to boundary lines, latitudes
 and longitudes. Indicates physical,
 political, industrial and other details on
 maps using respective conventional signs.
 Traces ink-marked items on tracing film
 for use in administration, research,
 survey, excavation, construction, mining,
 exploration of minerals etc.",NA,NA
2,2165,Cartographers and Surveyors,c_2165.0200,"Surveyor, Topographical","Surveyor, Topographical surveys land to
 determine out line, contours and relative
 position of control points (land marks) on
 tract of land, cost, harbour, etc. for
 preparing topographical and other maps
 and records. Establishes control points
 and pillars to do instrumentation work on
 ground to prepare maps. Provides
 identification marks on ground for
 photographs taken in aerial survey. Fixes
 position of control points on ground in
 relation to some permanent position and
 with reference to celestial bodies using
 astrolabes (for lat. and long), transit
 telescopes (for time and longitudes), field
 magnate instruments (for magnetic forces
 and elements), theodolites and precise
 levels, tellurometers (electronic distance
 measuring instruments) barometers for
 atmospheric pressure, etc. Adjusts and
 sets theodolites, compasses, plane tables,
 levelling and other instruments for
 surveyor, observes and records
 measurements and angles from three
 determined points (triangulation),
 locations to scale on proper sketch.
 Corrects margin of error due to worn-out
 tapes which become incorrect, and
 readings on instruments which are
 affected by light, sound, heat, tension,
 environments and gravitational changes
 due to varying reserves underneath
 ground. May be known as Superintendent
 Surveyor Officer Surveyor or Surveyor
 according to degree of authority.",NA,NA
2,2165,Cartographers and Surveyors,c_2165.0300,Aerial-Photograph Interpreter,"Aerial-Photograph Interpreter analyses
 aerial photographs to detect significant
 industrial, resource, or topographical
 data. Studies photographs to locate roads,
 industrial centres, rivers, forest areas, and
 to determine nature of terrain. Interprets
 photographs to evaluate the potentiality
 of resources. May draw maps for use of
 field officers in planning and exploitation
 of resources. May interpret photographs
 for timber evaluation, water shed
 management, construction, or mining.
 May request enlargement of photograph
 for more detailed analysis. May use
 computers and data banks to store,
 retrieve, and compare information.",NA,NA
2,2165,Cartographers and Surveyors,c_2165.0400,"Surveyor, Photogrammetric","Surveyor, Photogrammetric; Surveyor,
 Reproduction prepares topographical and
 project maps from air photographs of area
 by determining longitude and latitude of
 number of points on ground by
 triangulation or traverse method. Connect
 photographs together in proper
 sequences aligning, features, pointing out
 details and information such as names of
 places, rivers, tracks administrative and
 forest boundaries and other verification
 data to have continuous picture of area
 photographed. Identifies control points using stereoscopes and verifies points on
 ground if they are not clear on
 photographs due to different scales of
 photograph from point to point,
 distortions or otherwise. Brings
 photograph on same scale applying
 graphical methods or using
 Photogrammetric machine.",NA,NA
2,2165,Cartographers and Surveyors,c_2165.0500,"Surveyor, Mine","Surveyor, Mine surveys mines and
 prepares maps indicating location,
 topographical and underground features
 describing outline, results of deposits,
 natural or other barriers, linking space for
 passages and seams, crevices for driving
 shafts for mechanical quarrying, etc. for
 open pit and underground mines.
 Performs function of Surveyor,
 Topographical and directs Topo-Auxiliaries
 or helpers in location of points and in
 placing of instruments, theodolites,
 compasses, etc. Works as Topo-Traverser
 for connecting points by metered chains
 and takes measurements. Records size,
 location, elevation, angles, and plots data
 on drawing-paper marking boundaries,
 showing exact location of roads
 structures, natural or artificial barriers,
 surface and underground mineral,
 bringing out topographical features. May
 specialize in survey of coalmines, metal
 mines or quarries.",NA,NA
2,2165,Cartographers and Surveyors,c_2165.0600,"Surveyor, Hydrographic","Surveyor, Hydrographic; Surveyor, Marine
 surveys and maps areas bounded, banked
 or inundated by waters of rivers, lakes,
 sea, water-sheds, etc. indicating shore
 lines and including other information in
 chart for use of navigators and for
 constructing piers and light houses.
 Determines underwater features of sea,
 nature of river beds and depth of waters
 from several points (control points) by
 sounding echoes and or depth charges
 from survey ships for determining
 navigability and constructing piers and
 light houses. Collects details regarding
 behaviour of ocean currents and prepares
 charts. Register surfacing of rocks in chart
 for warning to boats chartering those
 waters. Incorporates tidal behaviour
 during different times of year in maps to
 add navigation. Produces charts and other
 ancillary publications such as ‘Notices to
 Mariners’ to inform them of changes in
 waters, light houses, etc. May be known
 as Civil Hydrographic Assistant, Civil
 Hydrographic Officer; Principal Civil
 Hydrographic Officer; Assistant Chief
 Hydrographic; Chief, Civil Hydrographic
 according to degree of responsibility.",NA,NA
2,2165,Cartographers and Surveyors,c_2165.9900,"Cartographers and Surveyors, Other","Cartographers and Surveyors, Other
 Cartographers and Surveyors apply
 surveying methods and techniques to
 determine the exact position of natural
 and constructed features and boundaries
 of land, seas, underground areas and
 celestial bodies, and prepare or revise
 digital, graphic and pictorial
 representations and all other
 Cartographers and Surveyors not
 classified elsewhere",NA,NA
2,2166,Graphic and Multimedia Designers,c_2166.0100,Commercial Artist,"Commercial Artist prepares designs for
 advertising articles or draws illustrations
 for books, magazines, posters, charts,
 hoardings etc. in suitable columns. Studies
 specifications and discusses details and
 cost with client. Determines subject
 matter in consultation with client and
 draws designs and sketches with or
 without colour to desired effect. Executes
 approved design in required medium such
 as paints, oils, water-colour etc.",NA,NA
2,2166,Graphic and Multimedia Designers,c_2166.0111,Art Director,"Art Director needs to conceptualise the
 creative vision and style of the production
 and ensure all creative elements conform
 to it",MES/Q0501,NA
2,2166,Graphic and Multimedia Designers,c_2166.0201,Multi Media Artist and Animator/Animator,"Multi-Media Artists and Animators create
 special effects, animation, or other visual
 images using film, video, computers, or
 other electronic tools and media for use in
 products or creations, such as computer
 games, movies, music videos, and
 commercials. Apply story development,
 directing, cinematography, and editing to
 animation to create storyboards that
 show the flow of the animation and map
 out key scenes and characters. Assemble,
 typeset, scan and produce digital camera-
 ready art or film negatives and printer's
 proofs. Convert real objects to animated
 objects through modelling, using
 techniques such as optical scanning.
 Create and install special effects as
 required by the script, mixing chemicals
 and fabricating needed parts from wood,
 metal, plaster, and clay. Create basic
 designs, drawings, and illustrations for
 product labels, cartoons, direct mail, or
 television. Create pen-and-paper images
 to be scanned, edited, coloured, textured
 or animated by computer. Create two-
 dimensional and three-dimensional
 images depicting objects in motion or
 illustrating a process, using computer
 animation or modelling programmes.
 Design complex graphics and animation,
 using independent judgment, creativity,
 and computer equipment. Develop
 briefings, brochures, multimedia
 presentations, web pages, promotional
 products, technical illustrations, and
 computer artwork for use in products,
 technical manuals, literature, newsletters
 and slide shows.",MES/Q0701,NA
2,2166,Graphic and Multimedia Designers,c_2166.0202,Modeller,"Modeller in the Media and Entertainment
 Industry is also known as a CG Modeller.
 Individuals at this job are responsible for
 creating computer generated models
 (characters, machines, props, objects etc.)
 for animation",MES/Q02501,NA
2,2166,Graphic and Multimedia Designers,c_2166.0203,Rigging Artist,"Rigging Artist in the Media and
 Entertainment Industry is also known as a
 CG Rigger. Individuals at this job are
 responsible for creating computer
 generated controls/rigs for movements in
 models used for animation.",MES/Q02502,NA
2,2166,Graphic and Multimedia Designers,c_2166.0204,Texturing Artist,"Texturing Artist in the Media and
 Entertainment Industry is also known as a
 Shading artist. Individuals at this job are
 responsible to add textures to models to
 create photo-realistic models that can be
 used for animation",MES/Q02503,NA
2,2166,Graphic and Multimedia Designers,c_2166.0205,Animation Director,"Animation Director needs to support the
 Director and guide efforts of the
 production team towards achieving the
 common creative vision.",MES/Q1302,NA
2,2166,Graphic and Multimedia Designers,c_2166.0206,Character Designer,"Character Designer needs to design the
 character pack including the look,
 expressions, poses, gestures, turnarounds,
 personality traits of characters for a
 production",MES/Q0502,NA
2,2166,Graphic and Multimedia Designers,c_2166.0207,Clean-up Artist,"Clean-up Artist needs to clean-up/detail-
 out the designs of the Character
 designers/Layout designers and keep
 them ready for production",MES/Q0506,NA
2,2166,Graphic and Multimedia Designers,c_2166.0208,Compositor,"Compositor needs to merge the various
 layers/elements created during post-
 production into a final product",MES/Q3505,NA
2,2166,Graphic and Multimedia Designers,c_2166.0209,Storyboard Artist,"Storyboard Artist needs to translate the
 script/story/idea/concept into a visual
 medium using a series of illustrated
 frames",MES/Q0507,NA
2,2166,Graphic and Multimedia Designers,c_2166.0210,Rendering Artist,"Rendering Artist needs to convert three-
 dimensional geometric models into a set
 of viewable images",MES/Q3503,NA
2,2166,Graphic and Multimedia Designers,c_2166.0211,VFX Editor,"VFX Editor needs to create illusionary
 elements/images/segments for
 production",MES/Q3501,NA
2,2166,Graphic and Multimedia Designers,c_2166.0212,Roto Artist,"Roto Artist needs to break content down
 into individual frames/elements and
 alter/re-create content in accordance to
 requirements",MES/Q3504,NA
2,2166,Graphic and Multimedia Designers,c_2166.0300,Web Designer,"Web Designer provides strategic and
 sustainable aesthetic to the web site that
 supports business goals, information
 architecture, customer service
 applications, and brand strategy. Drives
 visual recommendations and solutions to
 both current page type and future
 redesign efforts. Translates complex
 concepts to convincing and compelling visualisations. Determines look-and-feel of
 website, online products, and other
 interactive initiatives. Creates original
 graphics and icons for use on the site and
 other group projects. Defines and
 implements web design parameters, style
 guides, and visual standards. Establishes
 and produces graphic material for use in
 online advertising and promotion of
 services and products. Builds strong
 collaborative relationships with team and
 client. Documents strategic decisions
 using diagrams and text. Documents
 design and creation. Prepares Hand-
 drawings, hand-letter storyboard and
 design forms where needed. Manipulates
 images, style photos, provides art
 direction, and acquires photos.",NA,NA
2,2166,Graphic and Multimedia Designers,c_2166.0401,Designer (CAD),"Designer (CAD) uses CAD software and
 tools to
 produce a range of jewellery designs that
 are also practical for manufacturing. CAD
 drawings provide all the information that
 forms the
 basis for every stage of manufacturing the
 jewellery.",G&J/Q2303,NA
2,2166,Graphic and Multimedia Designers,c_2166.0501,Graphic Designer,"Graphic Designer designs or creates
 graphics to meet specific commercial or
 promotional needs, such as packaging,
 displays, or logos. May use a variety of
 mediums to achieve artistic or decorative
 effects. Create designs, concepts, and
 sample layouts based on knowledge of
 layout principles and aesthetic design
 concepts. Determines size and
 arrangement of illustrative material and
 copy, and select style and size of type.
 Uses computer software to generate new
 images. Marks up, paste, and assemble
 final layouts to prepare layouts for
 printer. Draws and print charts, graphs,
 illustrations, and other artwork, using
 computer. Reviews final layouts and
 suggest improvements as needed. Confers
 with clients to discuss and determine
 layout design. Develops graphics and
 layouts for product illustrations, company
 logos, and Internet websites. Feeds
 information into computer to create
 layouts for client or supervisor. Prepares
 illustrations or rough sketches of material,
 discussing them with clients and/or
 supervisors and making necessary
 changes.",MES/Q0503,NA
2,2166,Graphic and Multimedia Designers,c_2166.0511,Colour Key Artist,"Colour Key Artist needs to conceptualise
 the colour keys for all elements within a
 production",MES/Q0505,NA
2,2166,Graphic and Multimedia Designers,c_2166.0512,Colourist,"Colourist needs to enhance and/or correct
 the colour to reflect the desired creative
 style and mood of the production",MES/Q3502,NA
2,2211,"Generalist Medical
 Practitioners, Allopathic",c_2211.0100,"Physician, General","Physician, General diagnoses and treats
 ailments or disorders of human body
 according to scientific system of medicine.
 Examines patients using stethoscope,
 blood pressure measuring instrument or
 any other medical instrument according
 to symptoms available, and makes or
 arranges for clinical tests, x-ray and histo-
 pathological examination for correct
 diagnoses of disease or disorder.
 Prescribes medicines based on results of
 examination. Consults other physicians or
 specialists, as necessary, in complicated
 and difficult cases. Gives minor surgical or
 other treatment and advises patients on
 regimen required to restore and maintain
 health. Administers drugs and
 anaesthetics, as required. Keeps records
 of patients examined, their ailments and
 treatment given or prescribed. May
 compound drugs and medicines.",NA,NA
2,2211,"Generalist MedicalPractitioners, Allopathic",c_2211.0200,"Surgeon, General","Surgeon, General diagnoses and treats
 injuries, diseases or disorders of human
 body by prescribing medicines or surgical
 operations. Examines patients to
 determine nature and extent of injury or
 ailments for treatment; by medicine,
 through local application or operation.
 Gets patient X-rayed or histo-
 pathologically examined in serious and
 complicated cases. Decides upon patient’s
 ability to withstand surgical operation.
 Obtains written permission from legal heir
 of patient before undertaking major
 operation for personal safeguards against
 death of patient and ensures that all
 precautions have been taken before
 operation. May administer drugs and
 anaesthetics as required. May obtain
 opinion of other specialists before
 diagnosis and performance of major
 operations. May specialize in thoracic
 surgery, plastic surgery etc. and be
 designated accordingly.",NA,NA
2,2211,"Generalist Medical Practitioners, Allopathic",c_2211.0300,"Anatomist, Medical","Anatomist, Medical studies structure of
 human body and its parts to ascertain
 their position, function and relation to
 each other in order to provide basic
 knowledge in diagnosis and treatment of
 human disease. Examines organs of body
 and its minute structures, tissues, cell etc.,
 using microscope wherever necessary.
 Prepares slides of different tissues for
 histological study. Studies growth and
 development of human and other
 mammalian embryo by utilizing X-ray,
 biochemical and cytochemical methods
 wherever necessary and publishes their
 findings in medical journals, papers, etc.
 May specialize in any branch of anatomical study such as neuro-anatomy,
 embryology, anthropology, surgical
 anatomy etc. May undertake research on
 problems in field of biological sciences",NA,NA
2,2211,"Generalist Medical Practitioners, Allopathic",c_2211.0400,Anaesthetist,"Anaesthetist administers anaesthetics to
 patient undergoing surgical operation
 according to nature of operation.
 Examines patients to determine their
 capacity to withstand shock of operation
 and anaesthesia selects local or general
 type of anaesthetic to be administered,
 such as ether, chloroform or cocaine
 according to nature of operation. Checks
 apparatus for operational efficiency, and
 administers selected anaesthetic to
 patient. Informs surgeon of patient’s
 readiness for operation. Feels pulse and
 watches respiration and eyeballs of
 patient while under anaesthesia and
 surgery to check their general condition
 with particular reference to patient’s
 heart and lungs. Examines and treats
 patient for ill effects and weakness after
 operation. May make provision for blood
 and fluid transfusion during operation and
 oxygen therapy, if necessary. May
 specialize in any specialized anaesthetic
 technique for chest or neuro-surgery.",NA,NA
2,2211,"Generalist Medical Practitioners, Allopathic",c_2211.0500,Psychiatrist,"Psychiatrist diagnoses and treats human
 mental diseases and disorders. Conducts
 examination of body for abnormal
 behaviour or mental activity and related
 abnormality to disease and disorder of
 other systems of body. Studies
 psychological test histo-pathological
 examination, X-ray observations and other
 clinical data along with history of diseases
 and other personal information and
 diagnoses disorder. Prescribes and
 conducts treatment of patient as required
 by ailment; by medicinal or surgical
 methods. Helps patient adjust self and
 control emotions and habits. May refer
 patients to other specialists to diagnose
 disease relating to other parts of body.
 May specialize in any technique of
 treatment and diagnosis of disorder. May
 conduct child guidance clinics, marriage
 counselling and marriage guidance clinics,
 genetic guidance clinic, vocational
 guidance clinics and vocational selection
 clinics.",NA,NA
2,2211,"Generalist Medical Practitioners, Allopathic",c_2211.9900,"Generalist Medical Practitioners, Allopathic, Other","Surgeons and Medical Specialists,
 Allopathic. Other diagnose and treat
 human ailments and include all other
 physicians, surgeons, and other medical
 specialists not elsewhere classified.",NA,NA
2,2212,Special Medical Practitioners,c_2212.0100,Neurologist,"Neurologist; Nerve Specialist diagnoses
 and treats nervous diseases of human
 beings. Conducts examination of different
 parts of nervous system to find cause of
 disorder or location of defect, and relates
 disorder to diseases or disorder in other
 parts/system of body. Studies clinical tests
 of cerebrospinal fluid, reports of histo-
 pathological examination, X-ray of skull
 and spinal cords and system, along with
 history of disorder/disease and possibility
 of inheriting nervous defects and
 diagnoses disease. Prescribes and
 conducts treatment of patient, as
 required, adopting medicinal and surgical
 methods. May consult other specialists to
 diagnose diseases. May specialize in any
 technique of diagnosing and treating
 particular type of nervous diseases.",NA,NA
2,2212,Special Medical Practitioners,c_2212.0200,Dermatologist,"Dermatologist diagnoses and conducts
 treatment of ailment of human skin.
 Examines patients to locate cause of skin
 disorder and relate skin disorder to
 diseases or disorders in other
 parts/system of body. Conducts clinical
 tests, microscopic examination of
 scrapings of diseased part of skin, histo-
 pathological examination, patch test in
 case of allergic disorder along with history
 of disorder/disease and other relevant
 personal data and diagnosis disorder.
 Prescribes medicines for treatment of
 various kinds of skins diseases such as
 blemishes, scabies, eczema etc. May
 consult other specialist to diagnose
 disease.",NA,NA
2,2212,Special Medical Practitioners,c_2212.0300,Allergy Specialist,"Allergy Specialist diagnoses and treats
 diseases and conditions with allergic or
 immunologic causes: Examines patient,
 utilizing medical instruments and
 equipment, patch tests, and blood tests as
 diagnostic aids. Elicits and records
 information about patient's history.
 Analyses reports and test results and
 prescribes treatment or medication for
 conditions, such as bronchial asthma,
 dermatological disorders, connective
 tissue syndromes, transplantation, and
 autoimmunity. Refers patients to ancillary
 and consultant services when indicated.",NA,NA
2,2212,Special Medical Practitioners,c_2212.0400,"Ear, Nose and Throat Specialist","Ear, Nose and Throat Specialist diagnoses
 and conducts treatment of diseases and
 disorders of ear, nose and throat.
 Conducts examination of ear, nose and
 throat for observable defect/symptoms,
 and relates disorder and disease to
 infection in other parts of body. Conducts
 clinical test and histo-pathological
 examination of diseased parts, along with
 other personal relevant particular and
 diagnoses diseases. Prescribes medicines
 and treats patients by medicinal or
 surgical methods as required. May obtain
 help of other specialist who diagnose
 disease.",NA,NA
2,2212,Special Medical Practitioners,c_2212.0500,Cardiologist,"Cardiologist; Heart Specialist diagnoses
 and conducts treatment of diseases and
 disorder of heart and blood circulation
 system of human body. Examines blood
 circulation system to find cause of
 disorder or location of defects and relates
 disorder to diseases or disorder in other
 parts of body. Conducts clinical tests of
 blood, histo-pathological examination, X-
 ray examination of heart, blood pressure,
 electro-cardiogram test, cardio-
 catheterization examination and
 phonocardiogram tests of heart, along
 with history of disorder/disease and other
 relevant personal data, and diagnoses
 disorder. Prescribes medicines and
 conducts treatment of patient as required
 by ailment. May obtain help of other
 specialist for diagnoses of disease. May
 specialize in any technique of treating
 disease of blood circulatory system or
 diagnoses of particular kinds of blood
 diseases.",NA,NA
2,2212,Special Medical Practitioners,c_2212.0600,Radiologist,"Radiologist diagnoses diseases and
 disorders of human system by studying X-
 ray pictures of affected parts or seeing it
 on fluoroscopic screen and gives
 treatment such as therapeutic radiation of
 diseased part of body. Checks patients for
 nature of complaint and for allergy to
 drugs in radiation treatment. Decides on
 type of X-ray picture to be taken in
 respect of diseased or affected part of
 body such as ulcers, fractures, lung
 diseases, etc. Gives patient where
 necessary certain drugs orally or by
 injection like barium-meal, barium iodine,
 enema, etc. to render particular organ of
 body opaque to X-rays. Takes X-ray
 picture or directs X-RAY TECHNICIAN to
 take X-ray picture of affected part. Studies
 developed X-ray film in viewing box and
 assesses nature, location and magnitude
 of disease or injury. Advises type of
 therapeutic treatment to be given or gives
 such treatment at their own clinic. Adjusts
 and operates X-ray and other therapeutic
 machine such as deep X-ray, cobalt, Gama
 rays, etc. to direct rays of required
 intensity on affected part of body for
 specified period or applies radium needle
 when necessary. May treat ailments such as cancer, tumour, blood diseases, skin
 diseases, cardio-respiratory system, etc.
 May operate image intensifier for study of
 movements of certain parts of body like
 heart, lungs, etc.",NA,NA
2,2212,Special Medical Practitioners,c_2212.0700,Tuberculosis Specialist,"Tuberculosis Specialist diagnoses and
 conducts treatment of ailments due to
 infection by tubercular disease. Conducts
 examination of different parts of body to
 locate nature of disorder and relates
 disorder/disease to infections in other
 parts of body. Administers tuberculin test
 and conducts clinical tests of sputum,
 blood, lymph, etc. Takes X-ray of chest
 and other parts of body, along with
 history of disease. Prescribes medicinal or
 surgical treatment. May obtain help of
 other specialists to diagnose disease.",NA,NA
2,2212,Special Medical Practitioners,c_2212.0800,Ophthalmologist,"Ophthalmologist; Eye Specialist diagnoses
 and conducts treatment of diseases and
 disorders of human eye. Conducts
 examination of eye ball and its related
 parts using ophthalmoscope to locate
 cause of disorder or location of defect and
 relates defects to disease/disorder or
 other system of body. Conducts clinical
 tests, histopathological examination, X-ray
 observations, history of disease along with
 other relevant personal data and
 diagnoses disorder. Tests and prescribes
 spectacles, contact lenses or specialized
 glasses for visual defects. Tests and treats
 for muscular imbalances of eye. May refer
 patients to other specialists for
 consultation or advise. May specialize in
 any technique of treatment, medical or
 surgical or diagnoses of types of disorder.",NA,NA
2,2212,Special Medical Practitioners,c_2212.0900,Urologist,"Urologist diagnoses and treats diseases
 and disorders of genitourinary organs and
 tract. Examines patient, using x-ray
 machine, fluoroscope, and other
 equipment to aid in determining nature
 and extent of disorder or injury. Treats
 patient, using diathermy machine,
 catheter, cystoscope, radium emanation
 tube, and similar equipment. Performs
 surgery, as indicated. Prescribes and
 administers urinary antiseptics to combat
 infection.",NA,NA
2,2212,Special Medical Practitioners,c_2212.1000,Venereologist,"Venereologist; diagnoses and conducts
 treatment of human venereal diseases.
 Examines patient and makes or arranges
 for special test e.g. blood, urine, stool,
 etc., and investigates into causes of
 infections and social diseases acquired
 venereally. Considers reports of tests, histopathological examination and
 prescribes medicine, both preventive and
 curative. May perform operation.",NA,NA
