division,isco_08_code,isco_08_title,occupation_code,occupation_name,occupation_description,qualification_pack_reference,nswf_level
1,1112,Senior Government,c_1112.0700,"Administrative & Executive
 Officials, Quasi Government (State)","Administrative and Executive Official,
 Quasi Government (State) plans,
 organizes, co-ordinates and controls
 within authority delegated, activities of
 quasi-government organizations,
 establishments, etc. or one or more of its
 departments/branches or sections; and
 includes officials such as: VICE
 CHANCELLOR, STATE UNIVERSITIES, DEAN,
 STATE AUTONOMOUS EDUCATIONAL
 INSTITUTES, CHAIRMAN, STATE
 CORPORATIONS/BOARDS, CHAIRMAN, HARYANA URBAN DEVELOPMENT
 AUTHORITY, SECRETARY, GHAZIABAD
 DEVELOPMENT AUTHORITY.",NA,NA
1,1112,Senior Government,c_1112.0800,"Administrative and Executive
 Officials, Local Bodies","Administrative and Executive Official,
 Local Bodies plans, organizes, co-ordinates
 and controls functions of the city
 corporation, improvement trust,
 municipality, district board, cantonment
 board, notified area committee or other
 local bodies, and executes and
 implements or supervises execution and
 implementation of decisions, rules and
 regulations and by-laws of local bodies
 and also assesses and collects local taxes.
 Is designated according to work
 performed or post held, such as:
 COMMISSIONER, CITY CORPORATION,
 EXECUTIVE OFFICER, IMPROVEMENT
 TRUST; EXECUTIVE OFFICER,
 CANTONMENT, BOARD; EXECUTIVE
 OFFICER; MUNICIPAL BOARD, SECRETARY,
 DISTRICT BOARD TAX SUPERINTENDENT,
 OCTROI SUPERINTENDENT",NA,NA
1,1112,Senior Government,c_1112.9900,"Senior Government Officials, Other","Administrative and Executive Officials,
 Government and Local Bodies, Other
 Include all other administrative and executive officials of government, quasi-
 government or local body, engaged in
 taking policy decisions and their
 implementation, general management
 and supervision of its one or more
 branches, sections and departments, not
 elsewhere classified.",NA,NA
1,1114,"Senior Officials of Special-interest
 Organizations",c_1114.0100,Political Worker,"Political Worker takes part in various
 activities of the political party to which he
 belongs. Contacts people for propagating
 ideology of his party and to enquire about
 their difficulties. Acts as link between
 people and legislators. Organizes activities
 of the party in his area. May act as
 President or Secretary of his party. May
 also function as President of Panchayat or
 Panchayat Samiti of his area.",NA,NA
1,1114,"Senior Officials of Special-interest
 Organizations",c_1114.0200,"Senior Officials of Employers,
 Workers and Other Economic
 Interest Organizations","Senior Officials of Employers’, workers’
 and other economic-interest organizations
 determine and formulate policies, rules
 and regulations of their respective
 organizations, direct their application,
 represents these organizations and act on
 their behalf.",NA,NA
1,1114,"Senior Officials of Special-interest
 Organizations",c_1114.0300,"Director, Disaster Management
 Services","Director, Disaster Management Services
 directs and co-ordinates regional
 programme activities of various agency to
 provide specialized human services, such
 as water safety programmes, disaster
 relief, and emergency transportation:
 Consults with co-operating agencies, such as police, firefighters and emergency
 ambulance services to co-ordinate efforts
 and define areas of jurisdiction.
 Participates in programme activities to
 serve clients of agency. Prepares budgets
 to control costs and to allocate funds in
 accordance with provisions and agency
 charter. May instruct agency staff and
 volunteers in skills required to provide
 services. May forward requisitions and
 arrange for maintenance of equipment,
 such as two way radios and agency
 vehicles. May co-ordinate services to
 disaster victims and safety programmes,
 such as water safety and emergency first
 aid, and also co-ordinates transportation
 of agency clients, blood and medical
 supplies and equipment.",NA,NA
1,1114,"Senior Officials of Special-interest
 Organizations",c_1114.9900,"Senior Officials of Special-interest
 Organizations, Other","Senior Officials of Humanitarian and other
 Special-interest Organizations, Other
 include senior officials of humanitarian
 and other special-interest organizations
 who determine and formulate policies,
 rules and regulations of humanitarian
 organizations, sports associations or other
 special-interest organizations. Directs
 their application, represents these
 organizations and acts on their behalf.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.0100,"Working Proprietor, Electricity","Working Proprietor, Electricity plans,
 organizes and controls in broad outline,
 within authority delegated, activities of
 private or public organizations or Working Proprietor, Electricity plans,
 organizes and controls in broad outline,
 within authority delegated, activities of
 private or public organizations or establishments or one or more of its
 branches, departments, etc. engaged in
 generation, transmission and distribution
 of electricity to domestic and industrial
 consumers. Is designated according to
 work performed or powers exercised.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.0200,"Working Proprietor, Gas","Working Proprietor, Gas plans, organizes
 and controls, within authority delegated
 activities of public or private organizations
 or enterprises, or one or more of its
 departments, sections or branches,
 engaged in manufacture of gas,
 distribution and supply of gas to
 consumers and production and supply of
 steam for heat and power. Is designated
 according to work performed or powers
 exercised.",NA,NA
1,1120,"Managing Directors and Chief
 Executives",c_1120.0300,"Working Proprietor, Water Supply","Working Proprietor, Water Supply plans,
 organizes and co-ordinates, within
 authority delegated, activities of public or
 private organizations engaged in storage,
 filtration, purification and supply of water.",NA,NA
